Batch,Data_Wait_Time_ms,Compute_Time_ms,Total_Time_ms,Stall_Percentage
28,15.183520317077637,499.6379089355469,514.8214292526245,2.949279003230271
29,18.378816604614258,510.30926513671875,528.688081741333,3.4763062076376285
30,21.11916732788086,462.4853820800781,483.604549407959,4.367032393250949
31,17.312000274658203,432.27783203125,449.5898323059082,3.8506209506265785
32,20.925472259521484,469.4639892578125,490.389461517334,4.267112958499379
33,19.0533447265625,510.91217041015625,529.9655151367188,3.59520462791757
34,8.58739185333252,447.2073669433594,455.7947587966919,1.8840479596569784
35,8.781888008117676,509.2086486816406,517.9905366897583,1.6953761480351985
36,10.249600410461426,443.0191345214844,453.2687349319458,2.261263489086736
37,14.395744323730469,469.4530029296875,483.84874725341797,2.975257124348951
38,19.4149112701416,493.6708068847656,513.0857181549072,3.7839508259865435
39,6.666368007659912,517.3579711914062,524.0243391990662,1.2721485452086023
40,9.209183692932129,488.4022521972656,497.61143589019775,1.8506776630760984
41,9.673279762268066,487.50201416015625,497.1752939224243,1.9456477183231506
42,8.790975570678711,548.8734130859375,557.6643886566162,1.576391777831771
43,10.697919845581055,546.2266235351562,556.9245433807373,1.9208921518597002
44,6.949535846710205,467.6803894042969,474.6299252510071,1.4642009441429462
45,7.076064109802246,516.5050048828125,523.5810689926147,1.3514743998320642
46,9.108480453491211,480.3447265625,489.4532070159912,1.8609502038043897
47,7.669727802276611,490.1851806640625,497.8549084663391,1.5405548226698211
48,6.756256103515625,564.8026123046875,571.5588684082031,1.1820752816471665
49,11.053983688354492,625.9165649414062,636.9705486297607,1.73539949564915
50,6.709536075592041,523.056396484375,529.765932559967,1.2665095400094555
51,8.49788761138916,443.91473388671875,452.4126214981079,1.8783489247602037
52,15.320863723754883,521.0006103515625,536.3214740753174,2.856656774776712
53,10.562560081481934,477.4897155761719,488.0522756576538,2.164227196205327
54,21.712928771972656,608.1618041992188,629.8747329711914,3.447182056271773
55,24.001792907714844,511.799072265625,535.8008651733398,4.479610703866611
56,13.100064277648926,455.9618225097656,469.06188678741455,2.79282215133076
57,16.525279998779297,491.9352722167969,508.4605522155762,3.250061371874713
58,11.092384338378906,593.5931396484375,604.6855239868164,1.8344054716647635
59,6.631872177124023,498.34234619140625,504.9742183685303,1.3133090632924318
60,9.670592308044434,510.567138671875,520.2377309799194,1.858879456864636
61,19.666784286499023,461.444091796875,481.110876083374,4.087786259708432
62,14.298463821411133,527.5917358398438,541.8901996612549,2.6386274987717724
63,13.406656265258789,470.1002197265625,483.5068759918213,2.7727953687851103
64,8.748576164245605,526.6410522460938,535.3896284103394,1.6340578337726823
65,8.888799667358398,520.4102783203125,529.2990779876709,1.6793529475155156
66,9.648287773132324,476.496826171875,486.1451139450073,1.984651803828216
67,8.00937557220459,452.3104553222656,460.3198308944702,1.7399588361511988
68,6.661407947540283,461.6510925292969,468.31250047683716,1.422427960124408
